CODGEO,LIBGEO,REG,DEP,E14TST,E14TS0ND,E14TS1,E14TS6,E14TS10,E14TS20,E14TS50,E14TS100,E14TS200,E14TS500
01001,L'Abergement-Clémenciat,82,01,25,22,1,2,0,0,0,0,0,0
01002,L'Abergement-de-Varey,82,01,10,9,1,0,0,0,0,0,0,0
01004,Ambérieu-en-Bugey,82,01,996,577,272,63,46,24,9,3,2,0
01005,Ambérieux-en-Dombes,82,01,99,73,20,3,1,2,0,0,0,0
01006,Ambléon,82,01,4,4,0,0,0,0,0,0,0,0
01007,Ambronay,82,01,124,87,20,10,5,2,0,0,0,0
01008,Ambutrix,82,01,48,28,15,2,3,0,0,0,0,0
01009,Andert-et-Condon,82,01,22,17,4,1,0,0,0,0,0,0
01010,Anglefort,82,01,33,23,8,1,0,0,0,1,0,0
01011,Apremont,82,01,14,11,2,1,0,0,0,0,0,0
01012,Aranc,82,01,12,8,3,0,1,0,0,0,0,0
01013,Arandas,82,01,9,9,0,0,0,0,0,0,0,0
01014,Arbent,82,01,314,130,97,33,28,16,5,5,0,0
01015,Arbignieu,82,01,24,17,6,1,0,0,0,0,0,0
01016,Arbigny,82,01,9,8,0,1,0,0,0,0,0,0
01017,Argis,82,01,13,10,1,1,0,1,0,0,0,0
01019,Armix,82,01,1,1,0,0,0,0,0,0,0,0
01021,Ars-sur-Formans,82,01,67,42,20,5,0,0,0,0,0,0
01022,Artemare,82,01,101,67,28,3,3,0,0,0,0,0
01023,Asnières-sur-Saône,82,01,2,2,0,0,0,0,0,0,0,0
01024,Attignat,82,01,116,79,28,4,0,1,1,3,0,0
01025,Bâgé-la-Ville,82,01,101,79,12,7,3,0,0,0,0,0
01026,Bâgé-le-Châtel,82,01,49,36,11,1,0,1,0,0,0,0
01027,Balan,82,01,109,66,27,6,6,0,2,2,0,0
01028,Baneins,82,01,31,27,4,0,0,0,0,0,0,0
01029,Beaupont,82,01,25,19,5,1,0,0,0,0,0,0
01030,Beauregard,82,01,45,34,9,1,0,1,0,0,0,0
01031,Bellignat,82,01,252,112,80,24,18,11,4,3,0,0
01032,Béligneux,82,01,177,92,53,9,11,12,0,0,0,0
01033,Bellegarde-sur-Valserine,82,01,655,373,203,36,21,16,4,2,0,0
01034,Belley,82,01,708,421,191,40,25,18,8,3,2,0
01035,Belleydoux,82,01,15,11,4,0,0,0,0,0,0,0
01036,Belmont-Luthézieu,82,01,20,16,4,0,0,0,0,0,0,0
01037,Bénonces,82,01,9,7,2,0,0,0,0,0,0,0
01038,Bény,82,01,31,25,4,1,1,0,0,0,0,0
01039,Béon,82,01,27,16,3,6,2,0,0,0,0,0
01040,Béréziat,82,01,13,10,3,0,0,0,0,0,0,0
01041,Bettant,82,01,18,14,3,1,0,0,0,0,0,0
01042,Bey,82,01,7,5,1,1,0,0,0,0,0,0
01043,Beynost,82,01,480,262,133,37,25,16,2,3,1,1
01044,Billiat,82,01,28,21,4,2,1,0,0,0,0,0
01045,Birieux,82,01,14,8,5,1,0,0,0,0,0,0
01046,Biziat,82,01,36,25,9,1,1,0,0,0,0,0
01047,Blyes,82,01,96,44,20,13,9,5,4,0,1,0
01049,La Boisse,82,01,195,135,36,10,8,3,2,0,1,0
01050,Boissey,82,01,5,3,1,0,0,1,0,0,0,0
01051,Bolozon,82,01,6,5,1,0,0,0,0,0,0,0
01052,Bouligneux,82,01,14,9,4,0,1,0,0,0,0,0
01053,Bourg-en-Bresse,82,01,3103,1722,911,165,159,87,36,13,8,2
01054,Bourg-Saint-Christophe,82,01,42,35,6,1,0,0,0,0,0,0
01056,Boyeux-Saint-Jérôme,82,01,17,13,4,0,0,0,0,0,0,0
01057,Boz,82,01,26,19,5,1,1,0,0,0,0,0
01058,Brégnier-Cordon,82,01,44,33,7,0,1,3,0,0,0,0
01059,Brénaz,82,01,6,5,1,0,0,0,0,0,0,0
01060,Brénod,82,01,23,17,4,1,0,1,0,0,0,0
01061,Brens,82,01,35,30,4,0,1,0,0,0,0,0
01062,Bressolles,82,01,44,28,9,2,2,1,2,0,0,0
01063,Brion,82,01,39,20,7,3,2,5,2,0,0,0
01064,Briord,82,01,45,33,7,2,1,1,0,0,1,0
01065,Buellas,82,01,68,44,20,2,1,1,0,0,0,0
01066,La Burbanche,82,01,5,4,1,0,0,0,0,0,0,0
01067,Ceignes,82,01,16,9,3,0,3,1,0,0,0,0
01068,Cerdon,82,01,40,28,10,2,0,0,0,0,0,0
01069,Certines,82,01,57,39,8,1,3,4,2,0,0,0
01071,Cessy,82,01,181,115,47,11,4,4,0,0,0,0
01072,Ceyzériat,82,01,188,114,47,9,9,4,5,0,0,0
01073,Ceyzérieu,82,01,41,27,13,0,0,1,0,0,0,0
01074,Chalamont,82,01,155,106,37,3,6,2,1,0,0,0
01075,Chaleins,82,01,81,55,17,0,3,4,2,0,0,0
01076,Chaley,82,01,6,6,0,0,0,0,0,0,0,0
01077,Challes-la-Montagne,82,01,11,10,1,0,0,0,0,0,0,0
01078,Challex,82,01,32,23,7,1,0,1,0,0,0,0
01079,Champagne-en-Valromey,82,01,65,45,15,3,2,0,0,0,0,0
01080,Champdor,82,01,17,12,3,0,1,1,0,0,0,0
01081,Champfromier,82,01,35,26,8,0,0,0,0,0,1,0
01082,Chanay,82,01,15,13,1,0,0,0,0,1,0,0
01083,Chaneins,82,01,55,37,15,1,2,0,0,0,0,0
01084,Chanoz-Châtenay,82,01,35,32,2,1,0,0,0,0,0,0
01085,La Chapelle-du-Châtelard,82,01,21,17,2,2,0,0,0,0,0,0
01087,Charix,82,01,10,9,0,1,0,0,0,0,0,0
01088,Charnoz-sur-Ain,82,01,63,36,17,4,3,3,0,0,0,0
01089,Château-Gaillard,82,01,119,61,33,14,8,2,1,0,0,0
01090,Châtenay,82,01,19,15,3,0,1,0,0,0,0,0
01091,Châtillon-en-Michaille,82,01,193,114,51,11,6,7,2,1,1,0
01092,Châtillon-la-Palud,82,01,64,49,13,1,1,0,0,0,0,0
01093,Châtillon-sur-Chalaronne,82,01,388,223,112,24,18,8,1,0,2,0
01094,Chavannes-sur-Reyssouze,82,01,28,21,6,0,0,1,0,0,0,0
01095,Chavannes-sur-Suran,82,01,33,28,4,0,0,0,1,0,0,0
01096,Chaveyriat,82,01,41,27,11,1,2,0,0,0,0,0
01097,Chavornay,82,01,7,4,3,0,0,0,0,0,0,0
01098,Chazey-Bons,82,01,65,32,18,6,3,5,1,0,0,0
01099,Chazey-sur-Ain,82,01,91,60,27,3,0,1,0,0,0,0
01100,Cheignieu-la-Balme,82,01,7,6,1,0,0,0,0,0,0,0
01101,Chevillard,82,01,5,4,1,0,0,0,0,0,0,0
01102,Chevroux,82,01,32,22,6,1,2,1,0,0,0,0
01103,Chevry,82,01,22,18,3,0,1,0,0,0,0,0
01104,Chézery-Forens,82,01,23,11,11,0,1,0,0,0,0,0
01105,Civrieux,82,01,103,73,23,2,2,2,1,0,0,0
